This file was created using the 202506 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607   ,1.0865   ,0.8807  ,-0.1274   ,5.5745   ,1.9060   ,2.0068
192608   ,0.7831   ,1.4677   ,5.4421   ,2.7268   ,2.7028   ,5.6833
192609  ,-2.8045  ,-0.0598  ,-0.4398   ,1.4777   ,0.0953  ,-0.7872
192610  ,-4.0288  ,-4.3615  ,-2.0127  ,-3.6326  ,-2.3450  ,-4.0040
192611   ,3.2971   ,3.6237   ,2.0876   ,3.2119   ,2.9345   ,3.1964
192612   ,2.5645   ,1.7773   ,3.2700   ,2.9011   ,2.6210   ,2.3073
192701  ,-0.8099  ,-0.2885   ,3.9874  ,-0.2623   ,0.0340   ,4.0920
192702   ,3.9809   ,6.3754   ,6.4416   ,5.0211   ,3.5905   ,7.9904
192703  ,-2.2271  ,-1.0076  ,-3.1143   ,1.2856   ,0.2556  ,-2.5905
192704  ,-1.3838   ,0.8706   ,3.4836   ,3.0756  ,-0.7711  ,-0.4893
192705   ,5.4623   ,3.3109  ,13.4556   ,5.4125   ,5.1423   ,7.0141
192706  ,-1.7163   ,1.3232  ,-4.0890  ,-0.9667  ,-3.0032  ,-2.0281
192707   ,4.2604   ,5.2594   ,4.0181   ,9.2715   ,6.8071   ,7.2634
192708   ,2.4876  ,-2.3002   ,0.7331   ,4.0055   ,1.1524  ,-1.9350
192709   ,2.2004   ,2.2366   ,0.3714   ,5.2451   ,4.4202   ,5.9339
192710  ,-0.2054  ,-2.1685  ,-6.0934  ,-3.5691  ,-4.3578  ,-6.6282
192711  ,10.2824   ,7.9528  ,10.4640   ,6.9718   ,6.7451   ,6.6384
192712   ,5.6728   ,2.6649   ,2.4534   ,2.5010   ,1.8708   ,3.4734
192801   ,3.1431   ,2.6832   ,3.6042  ,-0.4407  ,-0.4021  ,-2.3184
192802  ,-4.8778  ,-1.7699  ,-4.1262  ,-0.6750  ,-1.2169  ,-2.7041
192803   ,6.9741   ,8.6295   ,9.4430  ,12.3630   ,6.1448   ,7.6792
192804   ,5.0263  ,10.7789   ,9.9757   ,2.9355   ,5.9427   ,4.4954
192805   ,6.6954   ,1.9724   ,2.6118   ,2.5704  ,-0.0445   ,0.6499
192806  ,-9.1736  ,-8.5169  ,-6.7990  ,-3.6356  ,-4.1274  ,-5.4462
192807  ,-0.4122  ,-0.3805  ,-0.9736   ,1.3622   ,0.1242   ,0.8343
192808   ,6.1265   ,5.0111   ,3.7666   ,8.7594   ,5.4024   ,6.8627
192809   ,5.7390   ,4.4690   ,6.1849   ,3.0057   ,1.9522   ,4.2355
192810   ,6.8432   ,3.1402   ,1.6662   ,1.3103   ,1.4000   ,2.2057
192811   ,8.6693  ,11.1459  ,12.1856  ,11.1695  ,13.3448  ,12.9532
192812   ,0.6749  ,-0.7061  ,-0.5797   ,0.9714   ,0.0249   ,1.1950
192901   ,0.2541   ,1.9010   ,1.7793   ,6.5314   ,4.8675   ,2.5744
192902   ,0.7412   ,1.1290   ,0.3953  ,-0.5722   ,0.7548   ,3.0873
192903  ,-6.2168  ,-3.3713  ,-4.3437  ,-1.3903   ,2.3222  ,-0.1210
192904  ,-0.6478   ,2.7887   ,0.7306   ,2.3256   ,1.0882   ,2.8091
192905 ,-10.2270  ,-9.4382 ,-12.8944  ,-5.8502  ,-4.1634  ,-6.2166
192906   ,6.8988   ,9.5385   ,6.4559  ,12.4699   ,9.3941   ,7.4366
192907  ,-0.0598  ,-0.5053   ,3.8676   ,3.6533   ,6.1851   ,5.0608
192908  ,-1.1159  ,-0.6976  ,-0.4807   ,7.2212  ,12.5054   ,7.2166
192909  ,-3.9326  ,-4.2674  ,-3.6070  ,-4.4757  ,-4.9771  ,-6.3773
192910 ,-22.9978 ,-19.6471 ,-21.2217 ,-23.8688 ,-14.5836 ,-10.5727
192911 ,-14.6083  ,-9.5796 ,-10.9661 ,-14.2521 ,-10.4563  ,-7.7930
192912  ,-2.7372  ,-3.1726  ,-1.1821   ,3.2379   ,0.5554   ,1.4058
193001   ,6.0308   ,9.5192   ,8.4725   ,7.3576   ,3.3456   ,2.8545
